id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q4980126,Bryan Gould,1986-10-30,1987-07-13,,Q10648,,
Q10648,Gordon Brown,1987-07-13,1989-01-09,Q4980126,Q232639,,
Q232639,Margaret Beckett,1989-01-09,1992-07-18,Q10648,Q234182,,
Q234182,Harriet Harman,1992-07-18,1994-07-21,Q232639,Q334296,,
Q334296,Andrew Smith (politician),1994-07-21,1996-07-25,Q234182,Q296639,,
Q296639,Alistair Darling,1996-07-25,1997-05-03,Q334296,Q333039,,
Q333039,David Heathcoat-Amory,1997-06-19,2000-09-26,Q296639,Q333480,,
Q333480,Oliver Letwin,2000-09-26,2001-09-18,Q333039,Q263147,,
Q263147,John Bercow,2001-09-18,2003-11-11,Q333480,Q1234410,,
Q1234410,Howard Flight,2003-11-11,2004-06-14,Q263147,Q332493,,
Q332493,George Osborne,2004-06-14,2005-05-10,Q1234410,Q332987,,
Q332987,Philip Hammond,2005-05-10,2005-12-06,Q332493,Q266793,,
Q266793,Theresa Villiers,2005-12-06,2007-07-02,Q332987,Q332987,,
Q332987,Philip Hammond,2007-07-02,2010-05-11,Q266793,Q269697,,
Q269697,Liam Byrne,2010-05-11,2010-10-08,Q332987,Q302763,,
Q302763,Angela Eagle,2010-10-08,2011-10-07,Q269697,Q574896,,
Q574896,Rachel Reeves,2011-10-07,2013-10-07,Q302763,Q749759,,
Q749759,Chris Leslie (politician),2013-10-07,2015-05-11,Q574896,Q695007,,
Q695007,Shabana Mahmood,2015-05-11,2015-09-13,Q749759,Q694984,,
Q694984,Seema Malhotra,2015-09-13,2016-06-26,Q695007,Q19979355,,
Q19979355,Rebecca Long-Bailey,2016-06-27,2017-02-09,Q694984,Q19957586,,
Q19957586,Peter Dowd,2017-02-09,2020-04-06,Q19979355,Q575337,,
Q575337,Bridget Phillipson,2020-04-06,,Q19957586,,,
